ID,stars,goods,views,forks
101999506,0,0,1,1
101999501,3,2,34,1
101999493,0,0,1,1
101999491,0,0,2,1
101999481,1,2,1,286
101999470,0,0,1,1
101999467,1,2,17,1
101999458,1,2,3,1
101999457,4,4,27,1
101999445,0,0,2,1
101999444,0,0,1,1
101999441,0,0,1,1
101999440,0,0,1,1
101999439,2,3,13,478
101999436,0,0,2,1
101999426,0,0,9,1
101999423,2,2,22,745
101999414,1,1,16,1
101999407,0,0,1,1
101999404,0,0,1,10155
101999403,1,0,22,8483
101999398,0,0,1,1
101999387,0,0,2,1
101999386,1,1,4,1
101999357,1,1,36,4
101999356,0,1,7,4
101999353,0,1,1,1
101999352,0,0,1,24745
101999348,1,2,2,286
101999343,24,27,348,1
101999338,0,0,28,11
101999337,1,1,10,1
101999335,0,0,1,1
101999330,0,0,1,1
101999322,0,0,1,1
101999315,0,0,1,186
101999310,0,0,1,1
101999277,0,0,2,1
101999275,2,3,11,62
101999273,2,2,21,1
101999270,0,0,3,1
101999259,3,3,4,1
101999255,0,0,5,1
101999244,0,0,2,200
101999229,2,2,7,1
101999225,0,0,3,1
101999220,0,0,1,1
101999217,0,1,7,1
101999213,5,5,12,14
101999206,12,12,105,1
101999204,0,0,1,1
101999201,15,20,92,1
101999200,0,0,1,1
101999191,0,0,23,1
101999188,3,5,32,1
101999174,0,0,2,1
101999165,0,1,4,1
101999160,0,0,27,2387
101999155,1,2,7,463
101999145,2,2,22,216
101999142,0,0,2,1
101999132,1,1,4,1
101999122,4,4,53,1
101999120,0,1,3,1
101999116,0,0,9,1
101999113,1,1,11,11
101999107,0,0,3,1
101999094,0,0,1,1
101999088,0,0,3,27
101999080,1,1,1,1
101999066,0,1,7,1
101999056,1,1,1,1
101999054,0,0,10,12
101999032,0,0,1,1
101999023,1,1,11,2
101999015,0,0,12,18
101999008,0,1,6,1
101999003,0,0,4,1
101999000,0,0,1,1
101998998,0,0,1,1
101998989,1,1,6,3726
101998977,0,0,9,39
101998976,0,0,5,1
101998970,0,1,98,4
101998963,0,0,2,1
101998959,0,0,2,1
101998952,0,1,18,1
101998947,128,167,1187,17
101998945,1,1,10,1
101998934,0,0,186,60
101998921,1,1,2,1
101998917,0,0,1,1
101998916,0,0,1,1
101998912,3,3,94,3
101998893,0,0,1,1
